,Out Datetime,In Datetime,Name,Voltage(kV),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,System In Control,MW Intrpt,District,OutageID
0,01/14/1993 12:40, ,Valhalla: Alcoa 13.8kV Feeder 3,13.8,still out,Plan,Normally Out,,Customer Request,None,WEN,27317
1,04/15/1993 13:55, ,Valhalla: Alcoa 13.8kV Feeder 4,13.8,still out,Plan,Normally Out,,Customer Request,Unknown,WEN,122340
2,06/10/1993 12:34, ,Mackay: Salmon River Coop 69kV Feeder 1,69.0,still out,Plan,Normally Out,,Customer Request,None,IDF,123844
3,12/18/1996 10:18,10/04/1999 08:14,The Dalles: Northrn Wasco PUD 12.5kV Feeder 1,12.5,1468616,Plan,Normally Out,,Customer Request,None,TDA,51557
4,08/24/1997 14:24,12/14/1999 08:17,Valhalla: Alcoa 13.8kV Feeder 5,13.8,1212173,Plan,Normally Out,,Customer Request,None,WEN,56230
5,10/09/1997 16:20,10/29/1999 09:00,Norway: PacifiCorp (PACW) 115kV Feeder 1,115.0,1079560,Plan,Normally Out,,Customer Request,None,EUG,57117
6,11/10/1997 13:21, ,Arco: Lost River Elec 69kV Feeder 1 by PacifiCorp (PACE),69.0,still out,Plan,Normally Out,,Transferor Request,None,IDF,57578
7,12/12/1997 15:13, ,Monmouth: PacifiCorp (PACW) 115kV Feeder 1,115.0,still out,Plan,Normally Out,,Customer Request,Unknown,SAL,58044
8,02/04/1998 10:34,01/08/1999 10:09,Harvey: Golden NW Alum 13.8kV Feeder 2,13.8,486695,Plan,Foreign Request,,Customer Request,None,TDA,107629
9,02/06/1998 14:05, ,St. Johns: Portland Gen Elec 11.5kV Feeder 3,11.5,still out,Plan,Normally Out,,Customer Request,None,LGV,107653
10,03/16/1998 15:42,12/28/1999 08:38,Martindale: Franklin Co PUD 115kV Feeder 1,115.0,938456,Plan,Normally Out,,BPA Request,None,TRI,108147
11,07/30/1998 06:46, ,Foster Creek NVEC: Okanogan Co PUD 115kV Feeder 1,115.0,still out,Plan,Normally Out,,BPA Request,3,WEN,111371
12,08/11/1998 09:01,08/02/1999 14:18,Conkelley: Col Falls Alum Co 13.8kV Feeder 4,13.8,512957,Plan,Foreign Request,,Customer Request,None,KAL,111561
13,10/02/1998 16:08,01/29/1999 09:14,Tacoma: Kaiser Alum 13.8kV Feeder 1,13.8,171006,Plan,Foreign Request,,Customer Request,None,COV,112471
