,Out Datetime,In Datetime,Name,Voltage(kV),LineType,GenFlag,Length(miles),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,District,OutageID
0,01/01/1988 11:00, ,Ashe-Marion No 2 500kV line,500.0,L,T,224.01,still out,Plan,Normally Out,,TRI TDA RED SAL,107973
1,01/01/1988 11:00, ,Slatt tap to Ashe-Marion No 2 500kV line,500.0,T, ,0.10,still out,Plan,Normally Out,,TRI,107973
2,01/20/1995 10:31, ,Satsop-Grays Harbor Public Development Authority No 1 230kV line,230.0,L, ,0.10,still out,Plan,Normally Out,,OLY,37162
3,04/03/1995 10:00, ,Bell-AVA Beacon No 2 115kV line,115.0,L, ,6.20,still out,Plan,Normally Out,,SPK,170232
4,06/13/1996 10:20, ,Alvey-Fairview No 1 230kV line,230.0,L,T,97.46,still out,Plan,Normally Out,,EUG,47311
5,06/13/1996 10:20, ,Reston tap to Alvey-Fairview No 1 230kV line,230.0,T, ,0.04,still out,Plan,Normally Out,,EUG,47311
6,08/01/1996 14:54, ,Opportunity tap to Trentwood-Valley Way No 1 115kV line,115.0,T, ,0.10,still out,Plan,Normally Out,,SPK,48554
7,08/01/1996 14:54, ,Trentwood-Valley Way No 1 115kV line,115.0,L,T,2.72,still out,Plan,Normally Out,,SPK,48554
8,12/17/1996 09:23, ,"Cowlitz-LaGrande No 1,2 115kV lines",115.0,L,T,25.69,still out,Plan,Normally Out,,COV,51546
9,12/17/1996 09:23, ,"McCullough tap to Cowlitz-LaGrande No 1,2 115kV lines",115.0,T, ,2.18,still out,Plan,Normally Out,,COV,51546
10,03/06/1997 13:30,05/19/1999 10:11,Bald Mountain tap to Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TT, ,0.30,1157501,Plan,Normally Out,,TDA,115546
11,03/06/1997 13:30,05/19/1999 10:11,Bonneville-Sifton No 1 115kV line,115.0,L,T,29.80,1157501,Plan,Normally Out,,LGV,115546
12,08/14/1997 15:44,11/29/1999 08:15,Chemawa-Salem Alumina No 1 115kV line,115.0,L,T,3.30,1204891,Plan,Normally Out,,SAL,55922
13,08/14/1997 15:44,11/29/1999 08:15,University tap to Chemawa-Salem Alumina No 1 115kV line,115.0,T, ,9.00,1204891,Plan,Normally Out,,SAL,55922
14,08/14/1997 19:05,05/19/1999 10:11,Bald Mountain tap-Underwood section of Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TS,T,1.00,925386,Plan,Normally Out,,TDA,55969
15,08/14/1997 19:05,05/19/1999 10:11,Bonneville-Sifton No 1 115kV line,115.0,L,T,29.80,925386,Plan,Normally Out,,LGV,55969
16,08/14/1997 19:05,05/19/1999 10:11,Carson tap to Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TT,T,1.20,925386,Plan,Normally Out,,TDA,55969
17,08/14/1997 19:05,05/19/1999 10:11,Carson-Bald Mountain tap section of Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TS,T,15.40,925386,Plan,Normally Out,,TDA,55969
18,08/14/1997 19:05,05/19/1999 10:11,North Bonneville Annex tap to Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TT,T,,925386,Plan,Normally Out,,TDA,55969
19,08/14/1997 19:05,05/19/1999 10:11,Stevenson tap to Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TT,T,,925386,Plan,Normally Out,,TDA,55969
20,08/14/1997 19:05,05/19/1999 10:11,Stevenson-Carson section of Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TS,T,3.60,925386,Plan,Normally Out,,TDA,55969
21,08/14/1997 19:05,05/19/1999 10:11,Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,T, ,25.40,925386,Plan,Normally Out,,TDA,55969
22,08/14/1997 19:05,05/19/1999 10:11,Underwood tap-Stevenson section of Underwood tap to Bonneville-Sifton No 1 115kV line,115.0,TS,T,,925386,Plan,Normally Out,,TDA,55969
23,08/14/1997 19:24,04/01/1999 14:36,Bonneville-Sifton No 1 115kV line,115.0,L,T,29.80,856572,Plan,Normally Out,,LGV,55952
24,08/14/1997 19:24,04/01/1999 14:36,Camas tap to Bonneville-Sifton No 1 115kV line,115.0,T, ,1.80,856572,Plan,Normally Out,,LGV,55952
25,08/19/1997 15:05,04/19/1999 08:47,Pennwalt tap to Station E-Harborton 115kV line,115.0,T, ,0.43,875142,Plan,Normally Out,,LGV OLY EUG,56021
26,08/19/1997 15:05,04/19/1999 08:47,Station E-Harborton 115kV line,115.0,L,T,8.10,875142,Plan,Normally Out,,OLY LGV,56021
27,09/16/1997 16:00, ,Forest Grove-McMinnville No 1 115kV line,115.0,L,T,23.72,still out,Plan,Normally Out,,SAL,108978
28,09/16/1997 16:00, ,Walnut City tap to Forest Grove-McMinnville No 1 115kV line,115.0,T, ,5.63,still out,Plan,Normally Out,,SAL,108978
29,10/14/1997 11:12, ,Snyder-Stevens Drive section of White Bluffs-Stevens Drive No 2 115kV line,115.0,S, ,5.00,still out,Plan,Normally Out,,TRI,57189
30,10/14/1997 11:12, ,White Bluffs-Stevens Drive No 2 115kV line,115.0,L,G,6.90,still out,Plan,Normally Out,,TRI,57189
31,11/17/1997 11:02,11/18/1999 07:49,Boardman tap to McNary-Santiam No 2 230kV line,230.0,T, ,0.28,1052447,Plan,Normally Out,,TRI,57651
32,11/17/1997 11:02,11/18/1999 07:49,McNary-Santiam No 2 230kV line,230.0,L,T,200.43,1052447,Plan,Normally Out,,TRI TDA RED SAL,57651
33,11/17/1997 12:15,05/04/1999 18:07,Dalreed tap to McNary-Santiam No 2 230kV line,230.0,T, ,0.10,767812,Plan,Normally Out,,TDA,57653
34,11/17/1997 12:15,05/04/1999 18:07,McNary-Santiam No 2 230kV line,230.0,L,T,200.43,767812,Plan,Normally Out,,TRI TDA RED SAL,57653
