"date","state","sum_wildfires"
"Apr-00","alabama",244
"Apr-00","alaska",15
"Apr-00","arizona",219
"Apr-00","arkansas",183
"Apr-00","california",286
"Apr-00","colorado",38
"Apr-00","connecticut",48
"Apr-00","florida",583
"Apr-00","georgia",717
"Apr-00","idaho",22
"Apr-00","illinois",8
"Apr-00","indiana",15
"Apr-00","iowa",3
"Apr-00","kansas",12
"Apr-00","kentucky",160
"Apr-00","louisiana",153
"Apr-00","maine",97
"Apr-00","maryland",1
"Apr-00","michigan",39
"Apr-00","minnesota",1144
"Apr-00","mississippi",238
"Apr-00","missouri",171
"Apr-00","montana",123
"Apr-00","nebraska",2
"Apr-00","nevada",18
"Apr-00","new hampshire",42
"Apr-00","new jersey",154
"Apr-00","new mexico",226
"Apr-00","new york",256
"Apr-00","north carolina",512
"Apr-00","north dakota",219
"Apr-00","ohio",2
"Apr-00","oklahoma",134
"Apr-00","oregon",41
"Apr-00","pennsylvania",7
"Apr-00","south carolina",407
"Apr-00","south dakota",282
"Apr-00","tennessee",198
"Apr-00","texas",89
"Apr-00","utah",25
"Apr-00","virginia",126
"Apr-00","washington",69
"Apr-00","west virginia",183
"Apr-00","wisconsin",584
"Apr-00","wyoming",11
"Apr-01","alabama",316
"Apr-01","alaska",28
"Apr-01","arizona",101
"Apr-01","arkansas",179
"Apr-01","california",161
"Apr-01","colorado",13
"Apr-01","connecticut",53
"Apr-01","florida",521
"Apr-01","georgia",882
"Apr-01","hawaii",42
"Apr-01","idaho",17
"Apr-01","illinois",14
"Apr-01","indiana",33
"Apr-01","iowa",1
"Apr-01","kansas",22
"Apr-01","kentucky",516
"Apr-01","louisiana",119
"Apr-01","maine",235
"Apr-01","maryland",1
"Apr-01","michigan",111
"Apr-01","minnesota",656
"Apr-01","mississippi",363
"Apr-01","missouri",174
"Apr-01","montana",82
"Apr-01","nebraska",14
"Apr-01","nevada",10
"Apr-01","new hampshire",60
"Apr-01","new jersey",216
"Apr-01","new mexico",114
"Apr-01","new york",764
"Apr-01","north carolina",1107
"Apr-01","north dakota",277
"Apr-01","ohio",15
"Apr-01","oklahoma",236
"Apr-01","oregon",17
"Apr-01","pennsylvania",12
"Apr-01","south carolina",751
"Apr-01","south dakota",123
"Apr-01","tennessee",488
"Apr-01","texas",70
"Apr-01","utah",20
"Apr-01","virginia",273
"Apr-01","washington",47
"Apr-01","west virginia",345
"Apr-01","wisconsin",426
"Apr-01","wyoming",22
"Apr-02","alabama",334
"Apr-02","alaska",20
"Apr-02","arizona",355
"Apr-02","arkansas",170
"Apr-02","california",330
"Apr-02","colorado",63
"Apr-02","connecticut",29
"Apr-02","delaware",4
"Apr-02","florida",391
"Apr-02","georgia",726
"Apr-02","hawaii",27
"Apr-02","idaho",19
"Apr-02","illinois",5
"Apr-02","indiana",15
"Apr-02","iowa",3
"Apr-02","kansas",21
"Apr-02","kentucky",233
"Apr-02","louisiana",81
"Apr-02","maine",91
"Apr-02","massachusetts",12
"Apr-02","michigan",95
"Apr-02","minnesota",786
"Apr-02","mississippi",244
"Apr-02","missouri",181
"Apr-02","montana",101
"Apr-02","nebraska",40
"Apr-02","nevada",20
"Apr-02","new hampshire",29
"Apr-02","new jersey",241
"Apr-02","new mexico",212
"Apr-02","new york",454
"Apr-02","north carolina",839
"Apr-02","north dakota",290
"Apr-02","ohio",14
"Apr-02","oklahoma",127
"Apr-02","oregon",36
"Apr-02","pennsylvania",143
"Apr-02","south carolina",576
"Apr-02","south dakota",235
"Apr-02","tennessee",319
"Apr-02","texas",66
"Apr-02","utah",56
"Apr-02","virginia",225
"Apr-02","washington",49
"Apr-02","west virginia",178
"Apr-02","wisconsin",245
"Apr-02","wyoming",40
"Apr-03","alabama",200
"Apr-03","alaska",42
"Apr-03","arizona",111
"Apr-03","arkansas",502
"Apr-03","california",92
"Apr-03","colorado",83
"Apr-03","connecticut",73
"Apr-03","delaware",1
"Apr-03","florida",241
"Apr-03","georgia",360
"Apr-03","hawaii",25
"Apr-03","idaho",19
"Apr-03","illinois",17
"Apr-03","indiana",55
"Apr-03","iowa",22
"Apr-03","kansas",21
"Apr-03","kentucky",167
"Apr-03","louisiana",4
"Apr-03","maine",256
"Apr-03","massachusetts",41
"Apr-03","michigan",318
